Genus,Sample,Coverage,Coverage_effective,coverage_est,coverage_est_src,round,n50,qv,indels_per_100kb,error_rate,busco_complete,busco_single,busco_duplicated,busco_fragmented,busco_missing,busco_n,l50,auN,num_contigs,total_length,gc,expected_genome_size,assembly_frac,raw_total_bp,raw_read_n50,raw_read_n90,raw_mean_read_len,raw_n_reads,min_overlap,overlap_based_coverage,ovlp_div_initial,ovlp_median_div_first,ovlp_median_div_last,mean_edge_coverage,read_cov_cutoff,unique_cov_threshold,align_err_consensus,align_err_polishing,asm_total_length,asm_fragments,asm_frag_N50,asm_largest_frag,asm_mean_coverage,polish_mean_contig_cov,polish_selected_cov_threshold,ai_num_contigs,ai_total_bp,ai_mean_cov,ai_median_cov,ai_cov_cv,ai_circular_n,ai_circular_bp_frac,ai_repeat_bp_frac,ai_mult_gt1_n,ai_mult_gt1_bp_frac,ai_alt_groups_n,ai_alt_bp_frac,ai_low_cov_bp_frac,ai_short_bp_frac_10kb,ai_longest_len,ai_longest_cov,delta_qv,delta_busco_complete,delta_n50,delta_num_contigs,delta_error_rate,delta_error_improvement,assembly_error,delta_assembly_error,qv_improvement_rate,busco_per_contig,n50_fraction,cost_benefit_ratio,delta_qv_cumsum,delta_busco_complete_cumsum,score_improvement,gain_cumulative,qv_from_r1,n50_from_r1,error_rate_from_r1,busco_complete_from_r1,assembly_frac_from_r1,delta_qv_trend,delta_busco_complete_trend,score_improvement_trend,is_plateau,plateau_streak,completeness_score,assembly_quality,polishing_effectiveness
Enterococcus,SRR13386177,10X,10X,10.0,log,1,2773441,12.349977004223344,5821.063316517404,0.05821063,73.3,73.3,0.0,20.7,6.0,116,1,2773441.0,1,2773441,37.05,3500000,0.7924117142857143,35631721,23124,4212,,1901,4000,11.0,0.0616354,0.0627783,0.0240043,11.0,3.0,22.0,0.078921,0.060268,2773387,1,2773387,2773387,12.0,12.0,3.0,1,2773387,12.0,12.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773387,12.0,,,,,,,0.20758828571428567,,,36.65,0.9999996394372047,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,1,1,0.69033160821,0.2904188932857143,0.0
Enterococcus,SRR13386177,10X,10X,10.0,log,2,2773405,12.339443284569665,5835.198938441419,0.05835199,73.3,73.3,0.0,20.7,6.0,116,1,2773405.0,1,2773405,37.05,3500000,0.7924014285714286,35631721,23124,4212,,1901,4000,11.0,0.0616354,0.0627783,0.0240043,11.0,3.0,22.0,0.078921,0.060268,2773387,1,2773387,2773387,12.0,12.0,3.0,1,2773387,12.0,12.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773387,12.0,-0.01053371965367944,0.0,-36.0,0.0,0.0001413600000000001,-0.0001413600000000001,0.2075985714285714,1.0285714285740433e-05,-0.00526685982683972,36.65,0.9999996394325245,-0.00263342991341986,-0.01053371965367944,0.0,-0.004240731290043203,-0.004240731290043203,-0.01053371965367944,-36,0.0001413600000000001,0.0,-1.0285714285740433e-05,,,-0.004240731290043203,1,2,0.69022799133,0.29041512357142857,-0.0014135770966810677
Enterococcus,SRR13386177,10X,10X,10.0,log,3,2773465,12.340134019076125,5834.270528844592,0.05834271,72.4,72.4,0.0,21.6,6.0,116,1,2773465.0,1,2773465,37.05,3500000,0.7924185714285714,35631721,23124,4212,,1901,4000,11.0,0.0616354,0.0627783,0.0240043,11.0,3.0,22.0,0.078921,0.060268,2773387,1,2773387,2773387,12.0,12.0,3.0,1,2773387,12.0,12.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773387,12.0,0.0006907345064597337,-0.8999999999999915,60.0,0.0,-9.280000000000399e-06,9.280000000000399e-06,0.20758142857142858,-1.7142857142826706e-05,0.0002302448354865779,36.2,0.9999996394403249,-0.1498848775822553,-0.009842985147219707,-0.8999999999999915,-0.2697235644831278,-0.273964295773171,-0.009842985147219707,24,0.0001320799999999997,-0.8999999999999915,6.857142857086274e-06,0.011224454160139175,-0.8999999999999915,-0.2654828331930846,0,0,0.68175987796,0.2868555228571429,-0.06743089112078195
Enterococcus,SRR13386177,10X,10X,10.0,log,4,2773407,12.33935992748934,5835.311302744674,0.05835311,73.3,73.3,0.0,20.7,6.0,116,1,2773407.0,1,2773407,37.05,3500000,0.792402,35631721,23124,4212,,1901,4000,11.0,0.0616354,0.0627783,0.0240043,11.0,3.0,22.0,0.078921,0.060268,2773387,1,2773387,2773387,12.0,12.0,3.0,1,2773387,12.0,12.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773387,12.0,-0.0007740915867842091,0.8999999999999915,-58.0,0.0,1.0400000000000686e-05,-1.0400000000000686e-05,0.20759799999999995,1.6571428571365843e-05,-0.00019352289669605227,36.65,0.9999996394327845,0.11240323855165091,-0.010617076734003916,0.0,0.2696899405081409,-0.004274355265030116,-0.010617076734003916,-34,0.00014248000000000038,0.0,-9.714285714279569e-06,-0.0014648260932439428,1.799999999999983,0.5394135049912687,0,0,0.69022717037,0.290415333,0.05393798810162818
Enterococcus,SRR13386177,10X,10X,10.0,log,5,2773459,12.340140718547836,5834.261974538564,0.05834262,73.3,73.3,0.0,20.7,6.0,116,1,2773459.0,1,2773459,37.05,3500000,0.7924168571428571,35631721,23124,4212,,1901,4000,11.0,0.0616354,0.0627783,0.0240043,11.0,3.0,22.0,0.078921,0.060268,2773387,1,2773387,2773387,12.0,12.0,3.0,1,2773387,12.0,12.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773387,12.0,0.0007807910584958222,0.0,52.0,0.0,-1.0490000000001887e-05,1.0490000000001887e-05,0.20758314285714285,-1.4857142857094274e-05,0.00015615821169916443,36.65,0.9999996394395448,7.807910584958221e-05,-0.009836285675508094,0.0,0.0003129287091126199,-0.003961426555917497,-0.009836285675508094,18,0.0001319899999999985,0.0,5.142857142814705e-06,0.0015548826452800313,-0.8999999999999915,-0.26937701179902823,1,1,0.69023485954,0.29042077814285716,5.2154784852103314e-05
Enterococcus,SRR13386177,FULL,163X,163.0,log,1,2774519,12.222292134217344,5994.746187809375,0.05994746,93.1,92.2,0.9,6.9,0.0,116,1,2774519.0,1,2774519,37.05,3500000,0.7927197142857143,571996504,22065,4066,,31073,4000,179.0,0.0740334,0.0720823,0.0239266,185.0,37.0,365.0,0.098213,0.06056,2773058,1,2773058,2773058,201.0,201.0,40.0,1,2773058,201.0,201.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773058,201.0,,,,,,,0.2072802857142857,,,46.55,0.9999996395772962,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,1,1,0.8751889147399999,0.369011027,0.0
Enterococcus,SRR13386177,FULL,163X,163.0,log,2,2774595,12.208885733665806,6013.28007056107,0.0601328,91.4,90.5,0.9,8.6,0.0,116,1,2774595.0,1,2774595,37.05,3500000,0.7927414285714286,571996504,22065,4066,,31073,4000,179.0,0.0740334,0.0720823,0.0239266,185.0,37.0,365.0,0.098213,0.06056,2773058,1,2773058,2773058,201.0,201.0,40.0,1,2773058,201.0,201.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773058,201.0,-0.013406400551538411,-1.6999999999999886,76.0,0.0,0.00018533999999999912,-0.00018533999999999912,0.2072585714285714,-2.171428571429157e-05,-0.0067032002757692055,45.7,0.9999996395871688,-0.42835160013788176,-0.013406400551538411,-1.6999999999999886,-0.5154017996491833,-0.5154017996491833,-0.013406400551538411,76,0.00018533999999999912,-1.6999999999999886,2.171428571429157e-05,,,-0.5154017996491833,0,0,0.8590386208,0.36228283285714286,-0.1718005998830611
Enterococcus,SRR13386177,FULL,163X,163.0,log,3,2774605,12.207292074178817,6015.487044307835,0.06015487,92.2,91.4,0.9,7.8,0.0,116,1,2774605.0,1,2774605,37.05,3500000,0.7927442857142857,571996504,22065,4066,,31073,4000,179.0,0.0740334,0.0720823,0.0239266,185.0,37.0,365.0,0.098213,0.06056,2773058,1,2773058,2773058,201.0,201.0,40.0,1,2773058,201.0,201.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773058,201.0,-0.0015936594869891962,0.7999999999999972,10.0,0.0,2.2069999999999035e-05,-2.2069999999999035e-05,0.20725571428571432,-2.8571428570822732e-06,-0.0005312198289963987,46.1,0.9999996395884677,0.13306772341883466,-0.015000060038527607,-0.8999999999999915,0.23935783649091774,-0.27604396315826557,-0.015000060038527607,86,0.00020740999999999815,-0.8999999999999915,2.4571428571373843e-05,0.011812741064549215,2.499999999999986,0.754759636140101,0,0,0.86653720986,0.36545511571428574,0.059839459122729435
Enterococcus,SRR13386177,FULL,163X,163.0,log,4,2774605,12.207953440476787,6014.571727936169,0.06014571,93.1,92.2,0.9,6.0,0.9,116,1,2774605.0,1,2774605,37.05,3500000,0.7927442857142857,571996504,22065,4066,,31073,4000,179.0,0.0740334,0.0720823,0.0239266,185.0,37.0,365.0,0.098213,0.06056,2773058,1,2773058,2773058,201.0,201.0,40.0,1,2773058,201.0,201.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773058,201.0,0.0006613662979706447,0.8999999999999915,0.0,0.0,-9.160000000001112e-06,9.160000000001112e-06,0.20725571428571432,0.0,0.00016534157449266118,46.55,0.9999996395884677,0.11258267078724526,-0.014338693740556963,0.0,0.27026637851918567,-0.005777584639079902,-0.014338693740556963,86,0.00019824999999999704,0.0,2.4571428571373843e-05,0.002255025784959841,0.09999999999999432,0.030908542028267927,0,0,0.8750043439899999,0.36902246499999997,0.05405327570383713
Enterococcus,SRR13386177,FULL,163X,163.0,log,5,2774590,12.208196785082407,6014.233929461374,0.06014234,94.0,93.1,0.9,6.0,0.0,116,1,2774590.0,1,2774590,37.05,3500000,0.79274,571996504,22065,4066,,31073,4000,179.0,0.0740334,0.0720823,0.0239266,185.0,37.0,365.0,0.098213,0.06056,2773058,1,2773058,2773058,201.0,201.0,40.0,1,2773058,201.0,201.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773058,201.0,0.00024334460561981075,0.9000000000000057,-15.0,0.0,-3.3699999999955987e-06,3.3699999999955987e-06,0.20726,4.285714285678921e-06,4.866892112396215e-05,47.0,0.9999996395865193,0.09002433446056254,-0.014095349134937152,0.9000000000000057,0.27009844041367814,0.26432085577459824,-0.014095349134937152,71,0.00019488000000000144,0.9000000000000057,2.0285714285694922e-05,-0.000418021692350834,1.4210854715202004e-14,-0.00016793810550752575,0,0,0.8834662004,0.37258779999999997,0.045016406735613024
Enterococcus,SRR13386177,20X,20X,20.0,log,1,2774137,12.284071547699494,5910.072608952764,0.05910073,82.8,82.8,0.0,14.7,2.6,116,1,2774137.0,1,2774137,37.05,3500000,0.7926105714285714,70671887,22084,4035,,3827,4000,21.0,0.0655832,0.0674032,0.0238199,22.0,4.0,45.0,0.098955,0.060217,2773776,1,2773776,2773776,24.0,24.0,5.0,1,2773776,24.0,24.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773776,24.0,,,,,,,0.2073894285714286,,,41.4,0.9999996395276659,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,1,1,0.77906459556,0.32814077657142854,0.0
