Sample,Coverage_effective,round,raw_stop_eligible,material_stop_eligible,material_optimal_round,legacy_optimal_round,future_gain_qv,future_gain_busco_complete,future_gain_error_rate,future_gain_assembly_error
SRR13386177,10X,1,1,1,1,2,0,0,0,0
SRR13386177,10X,2,1,1,1,2,0,0,0,0
SRR13386177,10X,3,1,1,1,2,0,0,0,0
SRR13386177,10X,4,1,1,1,2,0,0,0,0
SRR13386177,10X,5,1,1,1,2,0,0,0,0
SRR13386177,163X,1,1,1,1,5,0,0,0,0
SRR13386177,163X,2,0,1,1,5,0,1,0,0
SRR13386177,163X,3,0,1,1,5,0,1,0,0
SRR13386177,163X,4,1,1,1,5,0,0,0,0
SRR13386177,163X,5,1,1,1,5,0,0,0,0
SRR13386177,20X,1,1,1,1,5,0,0,0,0
SRR13386177,20X,2,1,1,1,5,0,0,0,0
SRR13386177,20X,3,1,1,1,5,0,0,0,0
SRR13386177,20X,4,1,1,1,5,0,0,0,0
SRR13386177,20X,5,1,1,1,5,0,0,0,0
SRR13386177,40X,1,0,0,2,3,0,1,0,0
SRR13386177,40X,2,1,1,2,3,0,0,0,0
SRR13386177,40X,3,1,1,2,3,0,0,0,0
SRR13386177,40X,4,1,1,2,3,0,0,0,0
SRR13386177,40X,5,1,1,2,3,0,0,0,0
SRR13957660,10X,1,1,1,1,2,0,0,0,0
SRR13957660,10X,2,1,1,1,2,0,0,0,0
SRR13957660,10X,3,1,1,1,2,0,0,0,0
SRR13957660,10X,4,1,1,1,2,0,0,0,0
SRR13957660,10X,5,1,1,1,2,0,0,0,0
SRR13957660,20X,1,1,1,1,4,0,0,0,0
SRR13957660,20X,2,0,1,1,4,0,1,0,0
SRR13957660,20X,3,1,1,1,4,0,0,0,0
SRR13957660,20X,4,1,1,1,4,0,0,0,0
SRR13957660,20X,5,1,1,1,4,0,0,0,0
SRR13957660,40X,1,1,1,1,5,0,0,0,0
SRR13957660,40X,2,1,1,1,5,0,0,0,0
SRR13957660,40X,3,1,1,1,5,0,0,0,0
SRR13957660,40X,4,1,1,1,5,0,0,0,0
SRR13957660,40X,5,1,1,1,5,0,0,0,0
SRR13957660,46X,1,1,1,1,5,0,0,0,0
SRR13957660,46X,2,0,1,1,5,0,1,0,0
SRR13957660,46X,3,1,1,1,5,0,0,0,0
SRR13957660,46X,4,1,1,1,5,0,0,0,0
SRR13957660,46X,5,1,1,1,5,0,0,0,0
SRR13957676,10X,1,1,1,1,5,0,0,0,0
SRR13957676,10X,2,1,1,1,5,0,0,0,0
SRR13957676,10X,3,1,1,1,5,0,0,0,0
SRR13957676,10X,4,1,1,1,5,0,0,0,0
SRR13957676,10X,5,1,1,1,5,0,0,0,0
SRR13957676,20X,1,1,1,1,5,0,0,0,0
SRR13957676,20X,2,1,1,1,5,0,0,0,0
SRR13957676,20X,3,0,1,1,5,0,1,0,0
SRR13957676,20X,4,1,1,1,5,0,0,0,0
SRR13957676,20X,5,1,1,1,5,0,0,0,0
SRR13957676,211X,1,1,1,1,5,0,0,0,0
SRR13957676,211X,2,1,1,1,5,0,0,0,0
SRR13957676,211X,3,1,1,1,5,0,0,0,0
SRR13957676,211X,4,1,1,1,5,0,0,0,0
SRR13957676,211X,5,1,1,1,5,0,0,0,0
SRR13957676,40X,1,0,0,3,5,0,1,0,0
SRR13957676,40X,2,0,0,3,5,0,1,0,0
SRR13957676,40X,3,1,1,3,5,0,0,0,0
SRR13957676,40X,4,1,1,3,5,0,0,0,0
SRR13957676,40X,5,1,1,3,5,0,0,0,0
SRR16167665,10X,1,0,0,3,2,0,1,0,0
SRR16167665,10X,2,0,0,3,2,0,1,0,0
SRR16167665,10X,3,1,1,3,2,0,0,0,0
SRR16167665,10X,4,1,1,3,2,0,0,0,0
SRR16167665,10X,5,1,1,3,2,0,0,0,0
SRR16167665,20X,1,1,1,1,3,0,0,0,0
SRR16167665,20X,2,1,1,1,3,0,0,0,0
SRR16167665,20X,3,1,1,1,3,0,0,0,0
SRR16167665,20X,4,1,1,1,3,0,0,0,0
SRR16167665,20X,5,1,1,1,3,0,0,0,0
SRR16167665,40X,1,0,0,2,3,0,1,0,0
SRR16167665,40X,2,1,1,2,3,0,0,0,0
SRR16167665,40X,3,1,1,2,3,0,0,0,0
SRR16167665,40X,4,0,1,2,3,0,1,0,0
SRR16167665,40X,5,1,1,2,3,0,0,0,0
SRR16167665,46X,1,0,0,2,5,0,1,0,0
SRR16167665,46X,2,1,1,2,5,0,0,0,0
SRR16167665,46X,3,1,1,2,5,0,0,0,0
SRR16167665,46X,4,0,1,2,5,0,1,0,0
SRR16167665,46X,5,1,1,2,5,0,0,0,0
SRR19349851,10X,1,1,1,1,5,0,0,0,0
SRR19349851,10X,2,1,1,1,5,0,0,0,0
SRR19349851,10X,3,1,1,1,5,0,0,0,0
SRR19349851,10X,4,1,1,1,5,0,0,0,0
SRR19349851,10X,5,1,1,1,5,0,0,0,0
SRR19349851,157X,1,0,0,3,2,0,1,0,0
SRR19349851,157X,2,0,0,3,2,0,1,0,0
SRR19349851,157X,3,1,1,3,2,0,0,0,0
SRR19349851,157X,4,1,1,3,2,0,0,0,0
SRR19349851,157X,5,1,1,3,2,0,0,0,0
SRR19349851,20X,1,1,1,1,4,0,0,0,0
SRR19349851,20X,2,1,1,1,4,0,0,0,0
SRR19349851,20X,3,1,1,1,4,0,0,0,0
SRR19349851,20X,4,1,1,1,4,0,0,0,0
SRR19349851,20X,5,1,1,1,4,0,0,0,0
SRR19349851,40X,1,0,0,3,2,0,1,0,0
SRR19349851,40X,2,0,0,3,2,0,1,0,0
SRR19349851,40X,3,1,1,3,2,0,0,0,0
SRR19349851,40X,4,0,1,3,2,0,1,0,0
SRR19349851,40X,5,1,1,3,2,0,0,0,0
SRR19357507,10X,1,1,1,1,4,0,0,0,0
SRR19357507,10X,2,1,1,1,4,0,0,0,0
SRR19357507,10X,3,1,1,1,4,0,0,0,0
SRR19357507,10X,4,1,1,1,4,0,0,0,0
SRR19357507,10X,5,1,1,1,4,0,0,0,0
SRR19357507,150X,1,1,1,1,3,0,0,0,0
SRR19357507,150X,2,1,1,1,3,0,0,0,0
SRR19357507,150X,3,1,1,1,3,0,0,0,0
SRR19357507,150X,4,0,1,1,3,0,1,0,0
SRR19357507,150X,5,1,1,1,3,0,0,0,0
SRR19357507,20X,1,1,1,1,2,0,0,0,0
SRR19357507,20X,2,1,1,1,2,0,0,0,0
SRR19357507,20X,3,1,1,1,2,0,0,0,0
SRR19357507,20X,4,1,1,1,2,0,0,0,0
SRR19357507,20X,5,1,1,1,2,0,0,0,0
SRR19357507,40X,1,1,1,1,2,0,0,0,0
SRR19357507,40X,2,1,1,1,2,0,0,0,0
SRR19357507,40X,3,1,1,1,2,0,0,0,0
SRR19357507,40X,4,1,1,1,2,0,0,0,0
SRR19357507,40X,5,1,1,1,2,0,0,0,0
SRR19820504,10X,1,1,1,1,5,0,0,0,0
SRR19820504,10X,2,1,1,1,5,0,0,0,0
SRR19820504,10X,3,1,1,1,5,0,0,0,0
SRR19820504,10X,4,1,1,1,5,0,0,0,0
SRR19820504,10X,5,1,1,1,5,0,0,0,0
SRR19820504,149X,1,0,0,4,3,0,1,0,0
SRR19820504,149X,2,0,0,4,3,0,1,0,0
SRR19820504,149X,3,0,0,4,3,0,1,0,0
SRR19820504,149X,4,1,1,4,3,0,0,0,0
SRR19820504,149X,5,1,1,4,3,0,0,0,0
SRR19820504,20X,1,1,1,1,5,0,0,0,0
SRR19820504,20X,2,1,1,1,5,0,0,0,0
SRR19820504,20X,3,1,1,1,5,0,0,0,0
SRR19820504,20X,4,1,1,1,5,0,0,0,0
SRR19820504,20X,5,1,1,1,5,0,0,0,0
SRR19820504,40X,1,1,1,1,4,0,0,0,0
SRR19820504,40X,2,1,1,1,4,0,0,0,0
