Sample,Coverage_effective,busco_n,busco_resolution_percent,r1_busco_complete,r5_busco_complete,r1_to_r5_change,trajectory_range,any_future_gain_gt_1pp,terminal_gain_gt_1pp,transient_gain_only
SRR13386177,10X,116,0.8620689655172413,73.3,73.3,0.0,0.8999999999999915,0,0,0
SRR13386177,163X,116,0.8620689655172413,93.1,94.0,0.9000000000000057,2.5999999999999943,0,0,0
SRR13386177,20X,116,0.8620689655172413,82.8,82.8,0.0,0.0,0,0,0
SRR13386177,40X,116,0.8620689655172413,87.9,89.7,1.7999999999999972,1.7999999999999972,1,1,0
SRR13957660,10X,116,0.8620689655172413,63.8,61.2,-2.5999999999999943,3.5,0,0,0
SRR13957660,20X,116,0.8620689655172413,72.4,73.3,0.8999999999999915,2.5999999999999943,0,0,0
SRR13957660,40X,116,0.8620689655172413,80.2,77.6,-2.6000000000000085,3.5,0,0,0
SRR13957660,46X,116,0.8620689655172413,75.9,73.3,-2.6000000000000085,3.5,0,0,0
SRR13957676,10X,116,0.8620689655172413,69.0,67.2,-1.7999999999999972,1.7999999999999972,0,0,0
SRR13957676,20X,116,0.8620689655172413,79.3,78.4,-0.8999999999999915,2.5999999999999943,0,0,0
SRR13957676,211X,116,0.8620689655172413,87.1,85.3,-1.7999999999999972,1.7999999999999972,0,0,0
SRR13957676,40X,116,0.8620689655172413,86.2,86.2,0.0,2.6000000000000085,1,0,1
SRR16167665,10X,116,0.8620689655172413,33.6,35.3,1.6999999999999957,1.6999999999999957,1,1,0
SRR16167665,20X,116,0.8620689655172413,43.1,41.4,-1.7000000000000028,2.6000000000000014,0,0,0
SRR16167665,40X,116,0.8620689655172413,52.6,54.3,1.6999999999999957,1.6999999999999957,1,1,0
SRR16167665,46X,116,0.8620689655172413,56.9,57.8,0.8999999999999986,6.0,1,0,1
SRR19349851,10X,116,0.8620689655172413,51.7,50.9,-0.8000000000000043,0.8000000000000043,0,0,0
