Genus,Sample,Coverage,Coverage_effective,coverage_est,coverage_est_src,round,n50,qv,indels_per_100kb,error_rate,busco_complete,busco_single,busco_duplicated,busco_fragmented,busco_missing,busco_n,l50,auN,num_contigs,total_length,gc,expected_genome_size,assembly_frac,raw_total_bp,raw_read_n50,raw_read_n90,raw_mean_read_len,raw_n_reads,min_overlap,overlap_based_coverage,ovlp_div_initial,ovlp_median_div_first,ovlp_median_div_last,mean_edge_coverage,read_cov_cutoff,unique_cov_threshold,align_err_consensus,align_err_polishing,asm_total_length,asm_fragments,asm_frag_N50,asm_largest_frag,asm_mean_coverage,polish_mean_contig_cov,polish_selected_cov_threshold,ai_num_contigs,ai_total_bp,ai_mean_cov,ai_median_cov,ai_cov_cv,ai_circular_n,ai_circular_bp_frac,ai_repeat_bp_frac,ai_mult_gt1_n,ai_mult_gt1_bp_frac,ai_alt_groups_n,ai_alt_bp_frac,ai_low_cov_bp_frac,ai_short_bp_frac_10kb,ai_longest_len,ai_longest_cov
Pseudomonas,SRR24565792,10X,10X,10.0,log,1,2016240,12.812988140079517,5232.402597143994,0.05232403,87.1,87.1,0.0,10.3,2.6,116,2,2328730.8,3,5981622,58.99,6300000,0.9494638095238095,63448147,16568,4506,,3783,5000,9.0,0.0582369,0.0594588,0.0220737,9.0,3.0,19.0,0.09067,0.052809,5984083,3,2016653,2984381,10.0,10.0,3.0,3,5984083,10.0,11.0,0.17320508075688773,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2984381,11.0
Pseudomonas,SRR24565792,10X,10X,10.0,log,2,2016077,12.80538029932396,5241.577008209071,0.05241577,86.2,86.2,0.0,10.3,3.4,116,2,2328719.1,3,5981483,58.99,6300000,0.949441746031746,63448147,16568,4506,,3783,5000,9.0,0.0582369,0.0594588,0.0220737,9.0,3.0,19.0,0.09067,0.052809,5984083,3,2016653,2984381,10.0,10.0,3.0,3,5984083,10.0,11.0,0.17320508075688773,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2984381,11.0
Pseudomonas,SRR24565792,10X,10X,10.0,log,3,2016335,12.805981873299697,5240.851108223804,0.05240851,87.1,87.1,0.0,10.3,2.6,116,2,2328697.8,3,5981463,58.99,6300000,0.9494385714285715,63448147,16568,4506,,3783,5000,9.0,0.0582369,0.0594588,0.0220737,9.0,3.0,19.0,0.09067,0.052809,5984083,3,2016653,2984381,10.0,10.0,3.0,3,5984083,10.0,11.0,0.17320508075688773,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2984381,11.0
Pseudomonas,SRR24565792,10X,10X,10.0,log,4,2016039,12.805122625770585,5241.888057007837,0.05241888,86.2,86.2,0.0,11.2,2.6,116,2,2328757.4,3,5981386,58.99,6300000,0.9494263492063492,63448147,16568,4506,,3783,5000,9.0,0.0582369,0.0594588,0.0220737,9.0,3.0,19.0,0.09067,0.052809,5984083,3,2016653,2984381,10.0,10.0,3.0,3,5984083,10.0,11.0,0.17320508075688773,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2984381,11.0
Pseudomonas,SRR24565792,10X,10X,10.0,log,5,2016291,12.805053031677415,5241.971576790145,0.05241972,87.1,87.1,0.0,10.3,2.6,116,2,2328743.7,3,5981305,58.99,6300000,0.949413492063492,63448147,16568,4506,,3783,5000,9.0,0.0582369,0.0594588,0.0220737,9.0,3.0,19.0,0.09067,0.052809,5984083,3,2016653,2984381,10.0,10.0,3.0,3,5984083,10.0,11.0,0.17320508075688773,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2984381,11.0
Pseudomonas,SRR24565792,20X,20X,20.0,log,1,5980059,12.854733432470589,5182.348466329144,0.05182349,96.6,96.6,0.0,1.7,1.7,116,1,5980059.0,1,5980059,59.0,6300000,0.9492157142857143,127268726,16445,4556,,7628,5000,18.0,0.0631354,0.0637221,0.0219269,18.0,4.0,40.0,0.089825,0.052115,5978965,1,5978965,5978965,21.0,21.0,4.0,1,5978965,21.0,21.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,5978965,21.0
Pseudomonas,SRR24565792,20X,20X,20.0,log,2,5978965,12.832296350795286,5209.191197632769,0.05209192,96.6,96.6,0.0,1.7,1.7,116,1,5978965.0,1,5978965,59.0,6300000,0.9490420634920634,127268726,16445,4556,,7628,5000,18.0,0.0631354,0.0637221,0.0219269,18.0,4.0,40.0,0.089825,0.052115,5978965,1,5978965,5978965,21.0,21.0,4.0,1,5978965,21.0,21.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,5978965,21.0
Pseudomonas,SRR24565792,20X,20X,20.0,log,3,5980078,12.847474651902855,5191.018165238884,0.05191018,96.6,96.6,0.0,1.7,1.7,116,1,5980078.0,1,5980078,58.99,6300000,0.9492187301587302,127268726,16445,4556,,7628,5000,18.0,0.0631354,0.0637221,0.0219269,18.0,4.0,40.0,0.089825,0.052115,5978965,1,5978965,5978965,21.0,21.0,4.0,1,5978965,21.0,21.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,5978965,21.0
Pseudomonas,SRR24565792,20X,20X,20.0,log,4,5978946,12.835098513343963,5205.831997040858,0.05205832,96.6,96.6,0.0,1.7,1.7,116,1,5978946.0,1,5978946,59.0,6300000,0.9490390476190477,127268726,16445,4556,,7628,5000,18.0,0.0631354,0.0637221,0.0219269,18.0,4.0,40.0,0.089825,0.052115,5978965,1,5978965,5978965,21.0,21.0,4.0,1,5978965,21.0,21.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,5978965,21.0
Pseudomonas,SRR24565792,20X,20X,20.0,log,5,5979450,12.848269520106356,5190.067876099222,0.05190068,96.6,96.6,0.0,1.7,1.7,116,1,5979450.0,1,5979450,58.99,6300000,0.9491190476190476,127268726,16445,4556,,7628,5000,18.0,0.0631354,0.0637221,0.0219269,18.0,4.0,40.0,0.089825,0.052115,5978965,1,5978965,5978965,21.0,21.0,4.0,1,5978965,21.0,21.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,5978965,21.0
