Genus,Sample,Coverage,Coverage_effective,coverage_est,coverage_est_src,round,n50,qv,indels_per_100kb,error_rate,busco_complete,busco_single,busco_duplicated,busco_fragmented,busco_missing,busco_n,l50,auN,num_contigs,total_length,gc,expected_genome_size,assembly_frac,raw_total_bp,raw_read_n50,raw_read_n90,raw_mean_read_len,raw_n_reads,min_overlap,overlap_based_coverage,ovlp_div_initial,ovlp_median_div_first,ovlp_median_div_last,mean_edge_coverage,read_cov_cutoff,unique_cov_threshold,align_err_consensus,align_err_polishing,asm_total_length,asm_fragments,asm_frag_N50,asm_largest_frag,asm_mean_coverage,polish_mean_contig_cov,polish_selected_cov_threshold,ai_num_contigs,ai_total_bp,ai_mean_cov,ai_median_cov,ai_cov_cv,ai_circular_n,ai_circular_bp_frac,ai_repeat_bp_frac,ai_mult_gt1_n,ai_mult_gt1_bp_frac,ai_alt_groups_n,ai_alt_bp_frac,ai_low_cov_bp_frac,ai_short_bp_frac_10kb,ai_longest_len,ai_longest_cov,delta_qv,delta_busco_complete,delta_n50,delta_num_contigs,delta_error_rate,delta_error_improvement,assembly_error,delta_assembly_error,qv_improvement_rate,busco_per_contig,n50_fraction,cost_benefit_ratio,delta_qv_cumsum,delta_busco_complete_cumsum,score_improvement,gain_cumulative,qv_from_r1,n50_from_r1,error_rate_from_r1,busco_complete_from_r1,assembly_frac_from_r1,delta_qv_trend,delta_busco_complete_trend,score_improvement_trend,is_plateau,plateau_streak,completeness_score,assembly_quality,polishing_effectiveness,optimal_rounds_5class,optimal_rounds_3class,Coverage,r1_ok_group,stable_all_group
Enterococcus,SRR13386177,10X,10X,10.0,log,1,2773441,12.349977004223344,5821.063316517404,0.05821063,73.3,73.3,0.0,20.7,6.0,116,1,2773441.0,1,2773441,37.05,3500000,0.7924117142857143,35631721,23124,4212,,1901,4000,11.0,0.0616354,0.0627783,0.0240043,11.0,3.0,22.0,0.078921,0.060268,2773387,1,2773387,2773387,12.0,12.0,3.0,1,2773387,12.0,12.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773387,12.0,,,,,,,0.2075882857142856,,,36.65,0.9999996394372048,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,1,1,0.69033160821,0.2904188932857143,0.0,2,1,10X,0,1
Enterococcus,SRR13386177,10X,10X,10.0,log,2,2773405,12.339443284569665,5835.198938441419,0.05835199,73.3,73.3,0.0,20.7,6.0,116,1,2773405.0,1,2773405,37.05,3500000,0.7924014285714286,35631721,23124,4212,,1901,4000,11.0,0.0616354,0.0627783,0.0240043,11.0,3.0,22.0,0.078921,0.060268,2773387,1,2773387,2773387,12.0,12.0,3.0,1,2773387,12.0,12.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773387,12.0,-0.0105337196536794,0.0,-36.0,0.0,0.00014136,-0.00014136,0.2075985714285714,1.0285714285740433e-05,-0.0052668598268397,36.65,0.9999996394325243,-0.0026334299134198,-0.0105337196536794,0.0,-0.0042407312900432,-0.0042407312900432,-0.0105337196536794,-36,0.00014136,0.0,-1.0285714285740433e-05,,,-0.0042407312900432,1,2,0.69022799133,0.2904151235714285,-0.001413577096681,2,1,10X,0,1
Enterococcus,SRR13386177,10X,10X,10.0,log,3,2773465,12.340134019076125,5834.270528844592,0.05834271,72.4,72.4,0.0,21.6,6.0,116,1,2773465.0,1,2773465,37.05,3500000,0.7924185714285714,35631721,23124,4212,,1901,4000,11.0,0.0616354,0.0627783,0.0240043,11.0,3.0,22.0,0.078921,0.060268,2773387,1,2773387,2773387,12.0,12.0,3.0,1,2773387,12.0,12.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773387,12.0,0.0006907345064597,-0.8999999999999915,60.0,0.0,-9.2800000000004e-06,9.2800000000004e-06,0.2075814285714285,-1.7142857142826706e-05,0.0002302448354865,36.2,0.9999996394403248,-0.1498848775822553,-0.0098429851472197,-0.8999999999999915,-0.2697235644831278,-0.273964295773171,-0.0098429851472197,24,0.0001320799999999,-0.8999999999999915,6.857142857086274e-06,0.0112244541601391,-0.8999999999999915,-0.2654828331930846,0,0,0.68175987796,0.2868555228571429,-0.0674308911207819,2,1,10X,0,1
Enterococcus,SRR13386177,10X,10X,10.0,log,4,2773407,12.33935992748934,5835.311302744674,0.05835311,73.3,73.3,0.0,20.7,6.0,116,1,2773407.0,1,2773407,37.05,3500000,0.792402,35631721,23124,4212,,1901,4000,11.0,0.0616354,0.0627783,0.0240043,11.0,3.0,22.0,0.078921,0.060268,2773387,1,2773387,2773387,12.0,12.0,3.0,1,2773387,12.0,12.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773387,12.0,-0.0007740915867842,0.8999999999999915,-58.0,0.0,1.0400000000000686e-05,-1.0400000000000686e-05,0.2075979999999999,1.6571428571365843e-05,-0.000193522896696,36.65,0.9999996394327844,0.1124032385516509,-0.0106170767340039,0.0,0.2696899405081409,-0.0042743552650301,-0.0106170767340039,-34,0.00014248,0.0,-9.714285714279567e-06,-0.0014648260932439,1.799999999999983,0.5394135049912687,0,0,0.69022717037,0.290415333,0.0539379881016281,2,1,10X,0,1
Enterococcus,SRR13386177,10X,10X,10.0,log,5,2773459,12.340140718547836,5834.261974538564,0.05834262,73.3,73.3,0.0,20.7,6.0,116,1,2773459.0,1,2773459,37.05,3500000,0.7924168571428571,35631721,23124,4212,,1901,4000,11.0,0.0616354,0.0627783,0.0240043,11.0,3.0,22.0,0.078921,0.060268,2773387,1,2773387,2773387,12.0,12.0,3.0,1,2773387,12.0,12.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773387,12.0,0.0007807910584958,0.0,52.0,0.0,-1.0490000000001888e-05,1.0490000000001888e-05,0.2075831428571428,-1.4857142857094274e-05,0.0001561582116991,36.65,0.9999996394395448,7.807910584958221e-05,-0.009836285675508,0.0,0.0003129287091126,-0.0039614265559174,-0.009836285675508,18,0.0001319899999999,0.0,5.142857142814705e-06,0.00155488264528,-0.8999999999999915,-0.2693770117990282,1,1,0.69023485954,0.2904207781428571,5.2154784852103314e-05,2,1,10X,0,1
Enterococcus,SRR13386177,FULL,163X,163.0,log,1,2774519,12.222292134217344,5994.746187809375,0.05994746,93.1,92.2,0.9,6.9,0.0,116,1,2774519.0,1,2774519,37.05,3500000,0.7927197142857143,571996504,22065,4066,,31073,4000,179.0,0.0740334,0.0720823,0.0239266,185.0,37.0,365.0,0.098213,0.06056,2773058,1,2773058,2773058,201.0,201.0,40.0,1,2773058,201.0,201.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773058,201.0,,,,,,,0.2072802857142857,,,46.55,0.9999996395772962,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,1,1,0.8751889147399999,0.369011027,0.0,5,3,163X,0,0
Enterococcus,SRR13386177,FULL,163X,163.0,log,2,2774595,12.208885733665806,6013.28007056107,0.0601328,91.4,90.5,0.9,8.6,0.0,116,1,2774595.0,1,2774595,37.05,3500000,0.7927414285714286,571996504,22065,4066,,31073,4000,179.0,0.0740334,0.0720823,0.0239266,185.0,37.0,365.0,0.098213,0.06056,2773058,1,2773058,2773058,201.0,201.0,40.0,1,2773058,201.0,201.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773058,201.0,-0.0134064005515384,-1.6999999999999886,76.0,0.0,0.0001853399999999,-0.0001853399999999,0.2072585714285714,-2.171428571429157e-05,-0.0067032002757692,45.7,0.9999996395871688,-0.4283516001378817,-0.0134064005515384,-1.6999999999999886,-0.5154017996491833,-0.5154017996491833,-0.0134064005515384,76,0.0001853399999999,-1.6999999999999886,2.171428571429157e-05,,,-0.5154017996491833,0,0,0.8590386208,0.3622828328571428,-0.1718005998830611,5,3,163X,0,0
Enterococcus,SRR13386177,FULL,163X,163.0,log,3,2774605,12.207292074178817,6015.487044307835,0.06015487,92.2,91.4,0.9,7.8,0.0,116,1,2774605.0,1,2774605,37.05,3500000,0.7927442857142857,571996504,22065,4066,,31073,4000,179.0,0.0740334,0.0720823,0.0239266,185.0,37.0,365.0,0.098213,0.06056,2773058,1,2773058,2773058,201.0,201.0,40.0,1,2773058,201.0,201.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773058,201.0,-0.0015936594869891,0.7999999999999972,10.0,0.0,2.2069999999999035e-05,-2.2069999999999035e-05,0.2072557142857143,-2.857142857082273e-06,-0.0005312198289963,46.1,0.9999996395884676,0.1330677234188346,-0.0150000600385276,-0.8999999999999915,0.2393578364909177,-0.2760439631582655,-0.0150000600385276,86,0.0002074099999999,-0.8999999999999915,2.4571428571373843e-05,0.0118127410645492,2.499999999999986,0.754759636140101,0,0,0.86653720986,0.3654551157142857,0.0598394591227294,5,3,163X,0,0
Enterococcus,SRR13386177,FULL,163X,163.0,log,4,2774605,12.207953440476787,6014.571727936169,0.06014571,93.1,92.2,0.9,6.0,0.9,116,1,2774605.0,1,2774605,37.05,3500000,0.7927442857142857,571996504,22065,4066,,31073,4000,179.0,0.0740334,0.0720823,0.0239266,185.0,37.0,365.0,0.098213,0.06056,2773058,1,2773058,2773058,201.0,201.0,40.0,1,2773058,201.0,201.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773058,201.0,0.0006613662979706,0.8999999999999915,0.0,0.0,-9.160000000001112e-06,9.160000000001112e-06,0.2072557142857143,0.0,0.0001653415744926,46.55,0.9999996395884676,0.1125826707872452,-0.0143386937405569,0.0,0.2702663785191856,-0.0057775846390799,-0.0143386937405569,86,0.0001982499999999,0.0,2.4571428571373843e-05,0.0022550257849598,0.0999999999999943,0.0309085420282679,0,0,0.8750043439899999,0.3690224649999999,0.0540532757038371,5,3,163X,0,0
Enterococcus,SRR13386177,FULL,163X,163.0,log,5,2774590,12.208196785082407,6014.233929461374,0.06014234,94.0,93.1,0.9,6.0,0.0,116,1,2774590.0,1,2774590,37.05,3500000,0.79274,571996504,22065,4066,,31073,4000,179.0,0.0740334,0.0720823,0.0239266,185.0,37.0,365.0,0.098213,0.06056,2773058,1,2773058,2773058,201.0,201.0,40.0,1,2773058,201.0,201.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773058,201.0,0.0002433446056198,0.9000000000000057,-15.0,0.0,-3.3699999999955987e-06,3.3699999999955987e-06,0.20726,4.285714285678921e-06,4.866892112396215e-05,47.0,0.9999996395865192,0.0900243344605625,-0.0140953491349371,0.9000000000000057,0.2700984404136781,0.2643208557745982,-0.0140953491349371,71,0.00019488,0.9000000000000057,2.028571428569492e-05,-0.0004180216923508,1.4210854715202004e-14,-0.0001679381055075,0,0,0.8834662004,0.3725877999999999,0.045016406735613,5,3,163X,0,0
Enterococcus,SRR13386177,20X,20X,20.0,log,1,2774137,12.284071547699494,5910.072608952764,0.05910073,82.8,82.8,0.0,14.7,2.6,116,1,2774137.0,1,2774137,37.05,3500000,0.7926105714285714,70671887,22084,4035,,3827,4000,21.0,0.0655832,0.0674032,0.0238199,22.0,4.0,45.0,0.098955,0.060217,2773776,1,2773776,2773776,24.0,24.0,5.0,1,2773776,24.0,24.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773776,24.0,,,,,,,0.2073894285714286,,,41.4,0.999999639527666,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,1,1,0.77906459556,0.3281407765714285,0.0,5,3,20X,0,1
Enterococcus,SRR13386177,20X,20X,20.0,log,2,2774120,12.277830647855302,5918.5726074912,0.05918572,82.8,82.8,0.0,14.7,2.6,116,1,2774120.0,1,2774120,37.05,3500000,0.7926057142857142,70671887,22084,4035,,3827,4000,21.0,0.0655832,0.0674032,0.0238199,22.0,4.0,45.0,0.098955,0.060217,2773776,1,2773776,2773776,24.0,24.0,5.0,1,2773776,24.0,24.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773776,24.0,-0.006240899844192,0.0,-17.0,0.0,8.499000000000007e-05,-8.499000000000007e-05,0.2073942857142857,4.8571428571397846e-06,-0.003120449922096,41.4,0.9999996395254568,-0.001560224961048,-0.006240899844192,0.0,-0.0025128722233911,-0.0025128722233911,-0.006240899844192,-17,8.499000000000007e-05,0.0,-4.8571428571397846e-06,,,-0.0025128722233911,0,0,0.7789942238399999,0.3281387657142857,-0.0008376240744637,5,3,20X,0,1
Enterococcus,SRR13386177,20X,20X,20.0,log,3,2774156,12.278541741352829,5917.603122186082,0.05917603,82.8,82.8,0.0,14.7,2.6,116,1,2774156.0,1,2774156,37.05,3500000,0.792616,70671887,22084,4035,,3827,4000,21.0,0.0655832,0.0674032,0.0238199,22.0,4.0,45.0,0.098955,0.060217,2773776,1,2773776,2773776,24.0,24.0,5.0,1,2773776,24.0,24.0,0.0,1,1.0,0.0,0,0.0,0,0.0,0.0,0.0,2773776,24.0,0.0007110934975269,0.0,36.0,0.0,-9.6899999999997e-06,9.6899999999997e-06,0.207384,-1.0285714285740433e-05,0.0002370311658423,41.4,0.9999996395301348,0.0001185155829211,-0.0055298063466651,0.0,0.0002853468275822,-0.0022275253958089,-0.0055298063466651,19,7.530000000000037e-05,0.0,5.428571428600648e-06,0.006951993341719,0.0,0.0027982190509733,0,0,0.7790022471599999,0.328143024,7.133670689555248e-05,5,3,20X,0,1
